倌,gun1
倍,pui5
們,mun4
倒,dou2,dou3,dou6
倔,gwak6,gwat6
倖,hang6
倘,tong2
候,hau2,hau4,hau6
倚,ji2
倜,tik1
借,ze3
倡,coeng1,coeng3
倦,gyun6
倩,sin6
倪,ngai4,ngai6
倫,lan4,leon4
倭,wo1
倮,lo4
值,zik6
偃,jin2
假,gaa1,gaa2,gaa3
偈,gai2
偉,wai5
偌,je6
偎,wui1
偏,pin1
偕,gaai1,haai4
做,zou6
停,ting2,ting4
健,gin6
側,zak1
偵,zing1
偶,ngau5
偷,tau1
偽,ngai6
傀,faai3
傅,fu2,fu6
傍,bong6,pong4
傑,git6
傘,saan3
備,bei2,bei6
傚,haau6
傝,daap3
傢,gaa1
催,ceoi1
傭,jung4
傲,ngou6
傳,cyun4,zyun2,zyun6
債,zaai3
傷,soeng1
傻,so4
傾,king1
僂,lau5
僅,gan2
僆,leng1
像,zoeng6
僑,kiu4
僕,buk6
僚,liu4
僥,hiu1
僧,zang1
僭,cim3,cim5
僮,zong6
僱,gu3
僵,goeng1
價,gaa3
僻,pik1
儀,ji4
儂,laang1,nung4
億,jik1
儆,geng6,ging2
儈,kui2
儉,gim6
儐,ban1,ban3
儒,jyu4
儕,caai4,cai4
儘,zeon2,zeon6
償,soeng4
儡,leoi5
優,aau1,jaau1,jau1
儲,cou5,cyu5,cyu6
儳,caam6
儷,lai6
儻,tong2
儼,jim5
兀,ngat6,nget4,nget6
允,wan5
元,jyun4
兄,hing1
充,cung1
兆,siu6
兇,hung1
先,sin1
光,gwong1,gwong4
克,haak1,hak1
免,min5
兑,deoi3
兒,ji1,ji4
兔,tou3
兜,dau1,doe3,dou1
兢,ging1
入,jap6
內,noi2,noi3,noi6
全,cyun1,cyun4
兩,loeng2,loeng4,loeng5
八,baat3
公,gung1,gung4
六,luk1,luk2,luk6
共,gung4,gung6
兵,bing1
其,kei4
具,geoi6
典,din2
兼,gim1
冀,kei3
円,jen1
冇,mou2,mou4,mou5
冉,jim5
冊,caak3
再,zoi3
冒,mou6
冕,min5
冖,mik6
冗,jung2
冚,haam6,ham2,ham4,ham6,kam2
冠,gun1,gun3
冢,cung2
冤,jyun1,jyun3
冥,ming5
冧,lam1,lam3,lam6,nam1
冪,mik6
冫,bing1
冬,dung1
冰,bing1
冶,je5
冷,laang1,laang5,lang1
冼,sin2
凄,cai1
准,zeon2
凈,zing6
凋,diu1
凌,ling4
凍,dung3
凜,lam5
凝,jing4
几,gei1
凡,faan4
凭,bang6
凰,wong4
凱,hoi2,kaai1
凳,dam3,dam4,dang3
凶,hung1
凸,dat6
凹,aau3,lap1,nap1
出,ceot1,cet1,cyut1
凼,tam5
函,haam4
刀,dou1
刁,deu1,diu1
刃,jan6
分,fan1,fan2,fan6
切,cai3,cit1,cit3,jit1
刊,hon1,hon2
刎,man5
刑,jing4
划,waa1
列,laat3,lit6
初,co1
判,pun3
別,bit3,bit6
刨,paau2,paau4
利,lai2,lai6,lei2,lei6
刪,saan1
刮,gwaat3
到,dou2,dou3
制,zai1,zai3
刷,caat2,caat3
券,gyun3,hyun3
刺,ci3,cik3,sik3
刻,haak1,hak1,kaak1,kak1
剁,doek1,doek3
剃,tai3
則,zak1,zik1
削,soek3
剋,haak1,hak1
剌,laai1
前,ci4,cin4
剎,saat3
剒,cok3
剔,tik1
剖,fau2,pau2
剛,gong1
剝,mok1
剩,sing6,zing6
剪,zin2
副,fu3,fu4
割,got3
創,cong3
剷,caan2
剽,piu5
剿,ziu2
劃,waak6
劇,kek6
劈,pek3,pek6
劉,lau4
劊,kui2
劍,gim3
劏,tong1
劑,zai1
劖,caam5
力,lei1,lik1,lik6
功,gung1
加,gaa1,gaa3
劣,lyut1,lyut3,lyut6
助,zo6
努,lou5,nou5
劫,gip3
劾,hat6
勁,ging3,ging4,ging6
勃,but6
勇,jung5
勉,min5
勒,laak6,lak6,lat6
動,dung6
勘,ham1,ham3
務,mou6
勛,fan1
勝,sing1,sing3
勞,lou1,lou2,lou4
募,mou6
勢,sai3
勤,kan4
勳,fan1
勵,lai6
勸,hyun3
勹,baau1
勺,soek3,zoek3
勻,wan4
勾,ngau1
勿,mat6
包,baau1,bau6
匆,cung1
匈,hung1
匕,bei3,bei6
化,faa2,faa3
北,baak1,bak1
匙,ci4,si4
匠,zoeng6
匡,hong1
匣,gaap2,haap2,haap6
匪,fei2
匯,wui6
匱,gwai6
匹,pat1
匾,bin2
匿,nei1,nik1
區,au1,keoi1
十,aa6,sap1,sap6
千,cin1
升,sing1
午,ng5
卉,wai2
半,bun3
卍,maan6
卑,bei1
卒,cyut3,zeot1
卓,coek3,coet1
協,hip3
南,laam4,naam4,nam4
博,bok3
卜,bok1,buk1,buk2,buk4,buk6,pok1,pot1
卞,bin6
占,zem1,zim1
